DateTime,Power_Training_Predicted_Values
00:00.0,1.1289186
00:00.0,1.9600267
00:00.0,0.727135
00:00.0,0.6127127
00:00.0,1.2889645
00:00.0,1.91155
00:00.0,6.257725
00:00.0,11.812476
00:00.0,8.193699
00:00.0,18.27667
00:00.0,13.087432
00:00.0,15.111208
00:00.0,21.35802
00:00.0,27.695807
00:00.0,43.29817
00:00.0,44.80287
00:00.0,28.776138
00:00.0,21.734821
00:00.0,23.637157
00:00.0,35.799915
00:00.0,50.671036
00:00.0,41.78584
00:00.0,3.8839777
00:00.0,12.414755
00:00.0,24.851084
00:00.0,4.8678975
00:00.0,16.519783
00:00.0,25.222643
00:00.0,27.03235
00:00.0,13.165392
00:00.0,23.260439
00:00.0,9.695912
00:00.0,6.1428165
00:00.0,0.8982146
00:00.0,0.26270804
00:00.0,0.50634754
00:00.0,0.8470918
00:00.0,13.322773
00:00.0,1.8131521
00:00.0,8.108716
00:00.0,15.0996895
00:00.0,10.722848
00:00.0,2.7682548
00:00.0,12.092176
00:00.0,4.260793
00:00.0,12.906911
00:00.0,6.4022455
00:00.0,2.047964
00:00.0,2.0562444
00:00.0,4.571359
00:00.0,5.1627483
00:00.0,5.214751
00:00.0,7.760544
00:00.0,3.7833488
00:00.0,6.4138374
00:00.0,5.3945494
00:00.0,1.8782694
00:00.0,0.38284627
00:00.0,0.18874267
00:00.0,5.279518
00:00.0,5.626066
00:00.0,6.743176
00:00.0,6.717168
00:00.0,13.163225
00:00.0,8.746932
00:00.0,5.827125
00:00.0,3.879736
00:00.0,3.8365827
00:00.0,1.2564025
00:00.0,0.26857707
00:00.0,0.58598375
00:00.0,0.1122759
00:00.0,0.1036886
00:00.0,0.079414785
00:00.0,0.1263228
00:00.0,0.3967267
00:00.0,1.4327049
00:00.0,4.6544204
00:00.0,2.2079604
00:00.0,3.5249252
00:00.0,12.190908
00:00.0,17.199726
00:00.0,18.917475
00:00.0,13.121087
00:00.0,16.981403
00:00.0,15.5858345
00:00.0,7.9393754
00:00.0,5.358764
00:00.0,5.4626913
00:00.0,2.9986916
00:00.0,0.56641006
00:00.0,0.24455175
00:00.0,-0.00802213
00:00.0,-0.09073073
00:00.0,-0.024392545
00:00.0,-0.1696819
00:00.0,-0.013538718
00:00.0,0.057079613
00:00.0,0.18837216
00:00.0,0.36030197
00:00.0,1.6095254
