,DateTime,Power_Training_Predicted_Values,power_gen_1,power_gen_2,power_gen_3
29,00:00.2,37.52156,7.5043120000000005,16.884702,13.132546
30,00:00.2,40.131,8.026200000000001,18.05895,14.04585
31,00:00.2,38.193573,7.6387146,17.18710785,13.36775055
32,00:00.2,37.18928,7.437856,16.735176,13.016247999999997
33,00:00.2,37.424324,7.4848648,16.8409458,13.098513399999998
34,00:00.2,39.57883,7.915766000000001,17.8104735,13.8525905
35,00:00.2,31.098875,6.219775,13.99449375,10.88460625
36,00:00.2,8.446587,1.6893174,3.8009641499999995,2.9563054499999994
37,00:00.2,4.991431,0.9982862000000001,2.2461439500000004,1.74700085
38,00:00.2,1.4473851,0.28947702000000003,0.651323295,0.5065847849999999
39,00:00.2,0.52220833,0.104441666,0.23499374850000002,0.1827729155
40,00:00.2,0.15235177,0.030470354,0.0685582965,0.053323119499999995
41,00:00.2,0.06110561,0.012221122000000001,0.0274975245,0.021386963499999998
42,00:00.2,0.038475633,0.007695126600000001,0.01731403485,0.01346647155
43,00:00.2,0.23605347,0.047210694,0.1062240615,0.0826187145
44,00:00.2,3.6492827,0.7298565400000001,1.642177215,1.277248945
45,00:00.2,1.4929463,0.29858926,0.671825835,0.5225312049999999
46,00:00.2,2.0519893,0.41039786,0.923395185,0.7181962549999998
47,00:00.2,4.4350767,0.88701534,1.995784515,1.5522768449999997
48,00:00.2,15.762512,3.1525024,7.0931304,5.516879199999999
49,00:00.3,18.050493,3.6100986,8.12272185,6.317672549999999
50,00:00.3,24.972208,4.9944416,11.237493599999999,8.7402728
51,00:00.3,37.230507,7.446101400000001,16.75372815,13.03067745
52,00:00.3,43.43011,8.686022,19.5435495,15.200538499999999
53,00:00.3,28.13639,5.6272780000000004,12.6613755,9.847736499999998
54,00:00.3,29.911703,5.982340600000001,13.46026635,10.46909605
55,00:00.3,26.53672,5.3073440000000005,11.941524,9.287851999999999
56,00:00.3,21.046938,4.2093876,9.4711221,7.3664283
57,00:00.3,30.27285,6.05457,13.6227825,10.595497499999999
58,00:00.3,33.812386,6.762477199999999,15.215573699999998,11.834335099999999
59,00:00.3,29.98646,5.997292000000001,13.493907,10.495261
60,00:00.3,10.282384,2.0564768,4.6270728000000005,3.5988344
61,00:00.3,3.5650156,0.7130031200000001,1.6042570200000001,1.24775546
62,00:00.3,5.6254244,1.12508488,2.53144098,1.9688985399999999
63,00:00.3,3.7519705,0.7503941000000001,1.688386725,1.313189675
64,00:00.3,2.0442448,0.40884896000000004,0.91991016,0.7154856799999999
65,00:00.3,5.89335,1.17867,2.6520075,2.0626724999999997
66,00:00.3,5.778708,1.1557416,2.6004186000000002,2.0225478
67,00:00.3,5.641118,1.1282235999999999,2.5385031,1.9743912999999997
68,00:00.3,11.578837,2.3157674,5.21047665,4.05259295
69,00:00.4,20.371164,4.0742328,9.1670238,7.1299074
70,00:00.4,13.75587,2.7511740000000002,6.1901415,4.8145545
71,00:00.4,10.936855,2.187371,4.92158475,3.8278992499999998
72,00:00.4,22.116158,4.4232316,9.952271099999999,7.740655299999999
73,00:00.4,43.677074,8.7354148,19.6546833,15.286975899999998
74,00:00.4,34.6376,6.92752,15.58692,12.123159999999999
75,00:00.4,22.280813,4.4561626,10.02636585,7.798284549999999
76,00:00.4,11.214101,2.2428202,5.04634545,3.9249353499999997
77,00:00.4,11.766985,2.353397,5.29514325,4.11844475
78,00:00.4,13.437428,2.6874856000000005,6.046842600000001,4.7030997999999995
79,00:00.4,10.783739,2.1567478,4.852682550000001,3.77430865
80,00:00.4,13.262247,2.6524494,5.968011150000001,4.64178645
81,00:00.4,12.7784395,2.5556879,5.750297775,4.472453825
82,00:00.4,15.2293005,3.0458601000000005,6.853185225000001,5.330255175
83,00:00.4,12.322297,2.4644594000000004,5.545033650000001,4.31280395
84,00:00.4,6.5316567,1.30633134,2.939245515,2.2860798449999997
85,00:00.4,1.8327026,0.36654052000000004,0.82471617,0.64144591
86,00:00.4,5.620403,1.1240805999999999,2.52918135,1.9671410499999997
87,00:00.4,19.162048,3.8324096,8.6229216,6.706716799999999
88,00:00.5,13.562275,2.7124550000000003,6.10302375,4.746796249999999
89,00:00.5,7.524101,1.5048202000000002,3.38584545,2.6334353499999996
90,00:00.5,7.571589,1.5143178000000002,3.40721505,2.65005615
91,00:00.5,26.696371,5.3392742,12.01336695,9.343729849999999
92,00:00.5,26.482454,5.296490800000001,11.9171043,9.2688589
93,00:00.5,29.45623,5.891246000000001,13.2553035,10.3096805
94,00:00.5,39.37994,7.8759879999999995,17.720973,13.782979
95,00:00.5,37.038185,7.407637,16.66718325,12.963364749999998
96,00:00.5,25.540361,5.1080722000000005,11.49316245,8.93912635
97,00:00.5,31.765816,6.353163200000001,14.294617200000001,11.118035599999999
98,00:00.5,27.988985,5.597797,12.59504325,9.79614475
99,00:00.0,39.870388,7.9740776,17.9416746,13.954635799999998
100,00:00.0,42.302788,8.4605576,19.0362546,14.805975799999999
101,00:00.0,43.5976,8.719520000000001,19.61892,15.25916
102,00:00.0,28.35194,5.670388,12.758373,9.923179
103,00:00.0,28.968157,5.793631400000001,13.03567065,10.13885495
104,00:00.0,35.43912,7.087824000000001,15.947604000000002,12.403692
105,00:00.0,27.022478,5.404495600000001,12.1601151,9.457867299999998
106,00:00.0,43.546074,8.7092148,19.5957333,15.241125899999998
107,00:00.0,38.031982,7.6063964,17.1143919,13.311193699999999
108,00:00.0,38.96606,7.7932120000000005,17.534727,13.638120999999998
109,00:00.0,36.18941,7.237882000000001,16.2852345,12.6662935
110,00:00.0,37.19618,7.439236,16.738281,13.018662999999998
111,00:00.1,21.5971,4.31942,9.718695,7.558985
112,00:00.1,16.982958,3.3965916000000003,7.6423311,5.9440352999999995
113,00:00.1,13.602722,2.7205444,6.1212249000000005,4.7609527
114,00:00.1,27.715294,5.543058800000001,12.4718823,9.700352899999999
115,00:00.1,32.983887,6.596777400000001,14.842749150000001,11.544360450000001
116,00:00.1,26.05414,5.210828,11.724363,9.118948999999999
117,00:00.1,22.262068,4.4524136,10.0179306,7.791723799999999
118,00:00.1,32.271248,6.454249600000001,14.5220616,11.294936799999999
