DateTime,Power_predicted_values
2024-01-13 18:00:00,10.489418
2024-01-13 19:00:00,19.72184
2024-01-13 20:00:00,30.787073
2024-01-13 21:00:00,37.856285
2024-01-13 22:00:00,38.30968
2024-01-13 23:00:00,42.708347
2024-01-14 00:00:00,54.19475
2024-01-14 01:00:00,54.637604
2024-01-14 02:00:00,57.525753
2024-01-14 03:00:00,53.507664
2024-01-14 04:00:00,58.979088
2024-01-14 05:00:00,57.572975
2024-01-14 06:00:00,54.37311
2024-01-14 07:00:00,38.28113
2024-01-14 08:00:00,32.39621
2024-01-14 09:00:00,37.56487
2024-01-14 10:00:00,33.317593
2024-01-14 11:00:00,21.621347
2024-01-14 12:00:00,12.313517
2024-01-14 13:00:00,17.041523
2024-01-14 14:00:00,14.296585
2024-01-14 15:00:00,3.1860757
2024-01-14 16:00:00,0.062385976
2024-01-14 17:00:00,0.46834102
2024-01-14 18:00:00,-0.07475531
2024-01-14 19:00:00,-0.018418849
2024-01-14 20:00:00,0.018945217
2024-01-14 21:00:00,0.16035268
2024-01-14 22:00:00,0.31783667
2024-01-14 23:00:00,0.7811281
2024-01-15 00:00:00,7.219725
2024-01-15 01:00:00,22.122713
2024-01-15 02:00:00,17.008276
2024-01-15 03:00:00,23.244055
2024-01-15 04:00:00,43.34705
2024-01-15 05:00:00,44.493332
2024-01-15 06:00:00,46.35163
2024-01-15 07:00:00,44.55517
2024-01-15 08:00:00,41.13399
2024-01-15 09:00:00,41.19023
2024-01-15 10:00:00,41.765335
2024-01-15 11:00:00,44.374775
2024-01-15 12:00:00,52.02855
2024-01-15 13:00:00,51.635303
2024-01-15 14:00:00,52.8745
2024-01-15 15:00:00,54.91825
2024-01-15 16:00:00,31.065184
2024-01-15 17:00:00,28.658348
2024-01-15 18:00:00,28.816893
2024-01-15 19:00:00,32.756687
2024-01-15 20:00:00,32.714897
2024-01-15 21:00:00,35.543488
2024-01-15 22:00:00,35.744877
2024-01-15 23:00:00,46.341274
2024-01-16 00:00:00,48.60863
2024-01-16 01:00:00,55.312977
2024-01-16 02:00:00,58.56461
2024-01-16 03:00:00,57.75544
2024-01-16 04:00:00,55.670513
2024-01-16 05:00:00,55.04978
2024-01-16 06:00:00,53.90394
2024-01-16 07:00:00,46.999737
2024-01-16 08:00:00,51.118374
2024-01-16 09:00:00,39.453457
2024-01-16 10:00:00,36.151463
2024-01-16 11:00:00,25.899357
2024-01-16 12:00:00,38.903584
2024-01-16 13:00:00,34.814274
2024-01-16 14:00:00,26.221178
2024-01-16 15:00:00,39.506233
2024-01-16 16:00:00,39.88331
2024-01-16 17:00:00,54.74254
2024-01-16 18:00:00,54.00028
2024-01-16 19:00:00,39.175358
2024-01-16 20:00:00,50.322197
2024-01-16 21:00:00,39.708286
2024-01-16 22:00:00,43.101562
2024-01-16 23:00:00,39.678757
2024-01-17 00:00:00,31.443
2024-01-17 01:00:00,51.237503
2024-01-17 02:00:00,45.21769
2024-01-17 03:00:00,40.346363
2024-01-17 04:00:00,55.31163
2024-01-17 05:00:00,56.78834
2024-01-17 06:00:00,57.96941
2024-01-17 07:00:00,49.121986
2024-01-17 08:00:00,34.35343
2024-01-17 09:00:00,18.166056
2024-01-17 10:00:00,6.450263
2024-01-17 11:00:00,10.79142
2024-01-17 12:00:00,14.087927
2024-01-17 13:00:00,20.504606
2024-01-17 14:00:00,16.023548
